[09:38:20] 1080x898 matrix with 153075 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_train.txt
[('max_depth', 1), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:66.8599      eval-rmse:65.7149
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[437]   train-rmse:15.8706      eval-rmse:23.8008
[438]   train-rmse:15.865       eval-rmse:23.7835
[439]   train-rmse:15.859       eval-rmse:23.7593
[440]   train-rmse:15.8535      eval-rmse:23.7593
[441]   train-rmse:15.848       eval-rmse:23.7944
[442]   train-rmse:15.8423      eval-rmse:23.7869
[443]   train-rmse:15.8368      eval-rmse:23.7678
[444]   train-rmse:15.8313      eval-rmse:23.7579
[445]   train-rmse:15.8257      eval-rmse:23.7501
[446]   train-rmse:15.8201      eval-rmse:23.7407
[447]   train-rmse:15.8146      eval-rmse:23.7549
[448]   train-rmse:15.809       eval-rmse:23.7422
[449]   train-rmse:15.8035      eval-rmse:23.7422
[450]   train-rmse:15.7981      eval-rmse:23.7252
[451]   train-rmse:15.7927      eval-rmse:23.7258
[452]   train-rmse:15.7873      eval-rmse:23.7164
[453]   train-rmse:15.7817      eval-rmse:23.7233
[454]   train-rmse:15.7763      eval-rmse:23.7089
[455]   train-rmse:15.771       eval-rmse:23.7089
[456]   train-rmse:15.7656      eval-rmse:23.6929
[457]   train-rmse:15.7601      eval-rmse:23.6699
[458]   train-rmse:15.7546      eval-rmse:23.6699
[459]   train-rmse:15.749       eval-rmse:23.6699
[460]   train-rmse:15.7436      eval-rmse:23.6771
[461]   train-rmse:15.7382      eval-rmse:23.6715
[462]   train-rmse:15.7329      eval-rmse:23.7053
[463]   train-rmse:15.7274      eval-rmse:23.7146
[464]   train-rmse:15.7221      eval-rmse:23.7145
[465]   train-rmse:15.7169      eval-rmse:23.7145
[466]   train-rmse:15.7115      eval-rmse:23.705
[467]   train-rmse:15.7063      eval-rmse:23.7051
[468]   train-rmse:15.7011      eval-rmse:23.6808
[469]   train-rmse:15.6959      eval-rmse:23.7085
[470]   train-rmse:15.6906      eval-rmse:23.6953
[471]   train-rmse:15.6854      eval-rmse:23.6787
[472]   train-rmse:15.6802      eval-rmse:23.6565
[473]   train-rmse:15.6749      eval-rmse:23.6557
[474]   train-rmse:15.6697      eval-rmse:23.6313
